# data for traveling sales woman model

# n - number of nodes
param n := 14 ;

# max_out - number of arcs out of each node
param max_out := 1 ;

# max_in - number of arcs in each node
param max_in := 1 ;

# arc_to_self - number of arcs to self allowed
param arc_to_self := 0 ;

# create distance parameter from one node to another
# 1, 2, 7 means distance between node 1 and 2 is 7
param d :=
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 8 0
9 9 0
10 10 0
11 11 0
12 12 0
13 13 0
14 14 0

0 1 14 
0 2 44 
0 3 14 
0 4 14 
0 5 59 
0 6 14 
0 7 8 
0 8 60 
0 9 26 
0 10 59 
0 11 46 
0 12 37 
0 13 60 
0 14 60 

1 0  14 
1 2 43 
1 3 0 
1 4 21 
1 5 67 
1 6 26 
1 7 6 
1 8 68 
1 9 37 
1 10 68 
1 11 57 
1 12 32 
1 13 68 
1 14 68 

2 0  44 
2 1 43 
2 3 43 
2 4 36 
2 5 43 
2 6 40 
2 7 41 
2 8 46 
2 9 39 
2 10 44 
2 11 45 
2 12 13 
2 13 44 
2 14 44 

3 0  14 
3 1 0 
3 2 43 
3 4 21 
3 5 67 
3 6 26 
3 7 6 
3 8 68 
3 9 37 
3 10 68 
3 11 57 
3 12 32 
3 13 68 
3 14 68 

4 0 11 
4 1 21 
4 2 36 
4 3 21 
4 5 48 
4 6 6 
4 7 15
4 8 49
4 9 16
4 10 48
4 11 36
4 12 32
4 13 49
4 14 39

5 0  59 
5 1 67 
5 2 43 
5 3 67 
5 4 48 
5 6 45 
5 7 62 
5 8 03 
5 9 34 
5 10 01 
5 11 18 
5 12 53 
5 13 01 
5 14 01 

6 0  14 
6 1 26 
6 2 40 
6 3 26 
6 4 6 
6 5 45 
6 7 20 
6 8 46 
6 9 12 
6 10 46 
6 11 32 
6 12 37 
6 13 46 
6 14 46 

7 0 8 
7 1 6 
7 2 41 
7 3 6 
7 4 15 
7 5 62 
7 6 20 
7 8 63 
7 9 31 
7 10 62 
7 11 51 
7 12 32 
7 13 63 
7 14 63 

8 0 60 
8 1 68 
8 2 46 
8 3 68 
8 4 49 
8 5 03 
8 6 46 
8 7 63 
8 9 34 
8 10 3 
8 11 16 
8 12 56 
8 13 3 
8 14 2 

9 0 22 
9 1 37 
9 2 39 
9 3 37 
9 4 16 
9 5 34 
9 6 12 
9 7 31 
9 8 34 
9 10 35 
9 11 20 
9 12 40 
9 13 35 
9 14 35 

10 0 59 
10 1 68 
10 2 44 
10 3 68 
10 4 48 
10 5 01 
10 6 46 
10 7 62 
10 8 03 
10 9 35 
10 11 18 
10 12 54 
10 13 01 
10 14 01 

11 0 46 
11 1 57 
11 2 45 
11 3 57 
11 4 36 
11 5 18 
11 6 32 
11 7 51 
11 8 16 
11 9 20 
11 10 18 
11 12 52 
11 13 18 
11 14 18 

12 0 37 
12 1 32 
12 2 13 
12 3 32 
12 4 32 
12 5 53 
12 6 37 
12 7 32 
12 8 56 
12 9 40 
12 10 54 
12 11 52 
12 13 54 
12 14 54 

13 0 60 
13 1 68 
13 2 44 
13 3 68 
13 4 49 
13 5 01 
13 6 46 
13 7 63 
13 8 03 
13 9 35 
13 10 01 
13 11 18 
13 12 54 
13 14 0 

14 0 60 
14 1 68 
14 2 44 
14 3 68 
14 4 49 
14 5 01 
14 6 46 
14 7 63 
14 8 02 
14 9 35 
14 10 01 
14 11 18 
14 12 54 
14 13 0 
;
